"","V1","V2","V3","V4","V5","V6","V7"
"80","80","touriste plage brune merci touriste glace quai quai bonjour couchette","perro vino bueno arte estudiar luz cine luz ave libro","arte ave gato bueno gato cuenta gato cocina perro ave","drink drink play read fish drink stay run play come","treat eat happy bird sad cat stay come cat ball","bike leash bird treat food ball run read ball eat"
"81","81","brune tisane billet merci touriste madame salut salut avion avion","plage bonjour merci merci billet trouves lait touriste gare glace","gato salido cuenta examen cocina gato luz luz cocina ave","museo banco cine perro estudiar vino cuenta banco examen gato","ball play see eat come ball eat fish ball happy","dog happy eat fish ball see food play leash bike"
"82","82","lait quai quai trouves lci lait madame tisane salut billet","lci billet vin glace merci lci couchette gare couchette vin","estudiar banco salido cuenta aprender perro aprender cine bueno banco","cocina bueno hola cocina leer cine arte banco vino gato","food fish eat leash eat leash fish food walk dog","read stay see leash bike play bird dog fish walk"
"83","83","salut touriste gare brune glace madame billet brune salut bonjour","billet lait glace plage avion couchette brune madame lait quai","cocina libro escuela luz perro hola arte gato banco escuela","salido perro ave cuenta cuenta cuenta cine vino vino ave","leash play stay eat food read play dog fish drink","drink sad play food ball sad stay cat bird read"
"84","84","quai touriste touriste quai salut gare madame pres glace trouves","billet trouves gare brune lait madame quai billet merci madame","bueno leer luz banco vino arte luz hola luz gato","cuenta hola libro museo perro aprender examen gato salido arte","ball cat come run dog walk leash play walk sad","bike stay walk eat sad happy see walk fish dog"
"85","85","pres avion touriste billet avion billet trouves salut glace quai","merci tisane couchette avion quai lait vin un salut vin","estudiar aprender cocina vino ave gato salido escuela banco ave","vino cine museo arte estudiar gato arte banco aprender cuenta","sad treat sad fish bike drink read play come dog","ball fish leash bird treat run play eat read eat"
"86","86","lci un tisane lci plage lci glace touriste brune touriste","touriste glace trouves gare salut brune tisane avion couchette trouves","madame couchette glace un plage couchette lci vin vin tisane","estudiar perro banco escuela vino luz cocina estudiar hola salido","ball stay ball fish drink sad sad fish ball ball","sad cat treat ball eat see sad stay dog read"
"87","87","plage bonjour quai vin trouves pres madame bonjour pres tisane","merci madame bonjour lci gare touriste glace vin brune glace","vin brune salut lait brune lait quai pres plage tisane","gato gato gato gato examen examen cuenta escuela estudiar vino","sad read bike bird see bird read ball run food","happy see read see dog see dog drink food see"
"88","88","pres salut un billet vin gare lait merci un salut","couchette billet merci billet salut touriste couchette quai lci avion","merci vin quai pres salut salut billet merci trouves bonjour","luz leer cocina cine bueno museo bueno museo vino cine","leash stay walk cat dog ball sad treat happy run","play drink dog treat cat run happy ball cat food"
"89","89","pres lci brune gare billet brune vin couchette glace merci","plage billet trouves vin madame gare bonjour lci salut glace","lait vin trouves billet avion un trouves tisane lci vin","libro luz ave perro luz hola museo cine bueno salido","leash drink see read eat fish stay ball see cat","run food play come leash eat stay play food treat"
"90","90","pres salut salut bonjour merci salut pres lci salut avion","plage glace pres gare madame lait bonjour billet trouves quai","gare brune trouves touriste trouves touriste tisane trouves salut merci","ave perro perro estudiar examen aprender banco cocina libro escuela","bike run dog walk sad dog drink bird play come","read cat run see leash ball food leash sad walk"
"91","91","lait madame vin lci avion bonjour lci trouves vin salut","merci pres vin gare couchette pres gare couchette pres plage","tisane salut un salut plage brune lci glace salut madame","lait vin couchette plage merci avion bonjour lci touriste madame","libro museo libro leer vino cuenta banco bueno cuenta cine","treat bird come dog leash stay fish read run see"
"92","92","glace salut tisane brune gare lait salut lci touriste lci","gare billet couchette madame couchette un avion quai lci avion","lait lait bonjour plage glace touriste plage salut salut brune","merci merci lci brune un brune tisane trouves plage tisane","examen leer museo estudiar cine museo gato arte hola vino","walk walk dog sad dog stay fish dog food bike"
"93","93","bonjour brune couchette billet trouves avion salut bonjour quai vin","touriste avion plage vin pres couchette un brune tisane glace","brune pres lci plage touriste madame un lait trouves plage","pres glace tisane pres pres quai vin billet tisane plage","museo ave escuela vino aprender libro arte ave hola cine","eat sad bike eat dog walk happy ball ball stay"
"94","94","salut touriste salut glace salut touriste merci couchette gare trouves","gare vin bonjour salut plage bonjour madame billet plage gare","un billet touriste touriste tisane pres lait madame pres brune","madame merci gare brune madame couchette lait un trouves quai","museo ave bueno gato arte cuenta escuela cine gato gato","cat drink fish walk treat leash bird bird happy run"
"95","95","tisane touriste quai vin merci tisane brune trouves lait trouves","vin touriste couchette tisane brune trouves gare lci lait tisane","madame merci salut avion merci brune trouves avion couchette un","madame lci bonjour brune plage un plage un plage billet","vino estudiar salido luz libro gato escuela cuenta banco gato","food food ball treat happy dog come run fish stay"
"96","96","lci lci avion plage lci quai quai salut quai lci","glace trouves lait billet couchette billet un vin tisane lait","pres pres quai salut lait salut trouves brune plage glace","gare madame vin lci avion gare glace avion touriste touriste","couchette plage tisane lait vin gare vin bonjour couchette bonjour","bird fish eat come bird drink eat leash leash ball"
"97","97","quai billet gare pres gare billet pres gare bonjour lait","avion salut salut bonjour un gare couchette merci brune un","un brune madame billet touriste brune madame lci billet couchette","quai lait pres lait salut salut avion merci quai glace","gare glace plage gare merci salut lci salut lait couchette","bird dog fish dog see bike cat cat fish happy"
"98","98","trouves tisane lait tisane trouves touriste trouves gare trouves tisane","avion madame couchette glace couchette tisane avion merci madame bonjour","quai touriste lci madame glace lait plage plage billet bonjour","quai tisane avion pres brune plage glace plage salut tisane","quai lci gare avion couchette lci avion billet couchette couchette","ball food cat play come stay cat walk bike stay"
"99","99","madame gare vin tisane gare couchette merci brune gare merci","billet lci gare tisane trouves pres salut un madame pres","avion madame lci bonjour quai merci gare glace un touriste","couchette couchette vin merci gare bonjour pres pres lait plage","trouves touriste plage merci lait bonjour lci avion lci vin","leer cuenta cuenta examen hola bueno luz perro gato hola"
"100","100","trouves avion plage billet salut glace quai plage couchette madame","quai glace tisane touriste bonjour trouves lci quai trouves avion","salut quai glace trouves touriste un avion tisane touriste madame","tisane merci salut madame avion avion trouves lci plage lait","billet lci couchette madame vin glace salut un pres lci","plage vin lci lait pres lait billet quai bonjour vin"
